"effect_sizes","power","omega2","runtime"
0.64,9275,0.263566702444047,14.7051906297604
0.65,9359,0.269976595200773,14.7051906297604
0.66,9454,0.276372675241356,14.7051906297604
0.67,9494,0.282752758378445,14.7051906297604
0.68,9558,0.289114748810316,14.7051906297604
0.69,9637,0.295456638022967,14.7051906297604
0.7,9641,0.30177650358018,14.7051906297604
0.71,9681,0.308072507811584,14.7051906297604
0.72,9737,0.3143428964084,14.7051906297604
0.73,9795,0.320585996936222,14.7051906297604
0.74,9836,0.326800217273808,14.7051906297604
0.75,9834,0.332984043986485,14.7051906297604
0.76,9854,0.339136040642415,14.7051906297604
0.77,9867,0.34525484607953,14.7051906297604
0.78,9907,0.35133917263061,14.7051906297604
0.79,9913,0.357387804313548,14.7051906297604
0.8,9927,0.363399594993466,14.7051906297604
0.81,9955,0.369373466522966,14.7051906297604
0.82,9944,0.375308406866416,14.7051906297604
0.83,9970,0.38120346821378,14.7051906297604
0.84,9969,0.387057765089165,14.7051906297604
0.85,9980,0.39287047245887,14.7051906297604
0.86,9975,0.398640823843382,14.7051906297604
0.87,9984,0.404368109437444,14.7051906297604
0.88,9988,0.410051674241967,14.7051906297604
0.89,9986,0.415690916211262,14.7051906297604
0.9,9992,0.421285284418768,14.7051906297604
0.91,9985,0.42683427724414,14.7051906297604
0.92,9995,0.432337440584328,14.7051906297604
0.93,9997,0.437794366090963,14.7051906297604
0.94,9996,0.443204689436165,14.7051906297604
0.95,9993,0.448568088608617,14.7051906297604
0.96,9998,0.453884282241547,14.7051906297604
0.97,9999,0.459153027974038,14.7051906297604
0.98,10000,0.464374120846879,14.7051906297604
0.99,10000,0.469547391734021,14.7051906297604
1,10000,0.474672705810477,14.7051906297604
1.01,9999,0.47974996105738,14.7051906297604
1.02,10000,0.484779086804745,14.7051906297604
1.03,10000,0.48976004231235,14.7051906297604
1.04,9999,0.494692815389006,14.7051906297604
1.05,9999,0.499577421050382,14.7051906297604
1.06,10000,0.504413900215434,14.7051906297604
1.07,9999,0.509202318441369,14.7051906297604
1.08,10000,0.513942764697028,14.7051906297604
1.09,10000,0.51863535017442,14.7051906297604
1.1,10000,0.52328020713813,14.7051906297604
1.11,10000,0.527877487812202,14.7051906297604
1.12,10000,0.532427363304071,14.7051906297604
1.13,10000,0.536930022565034,14.7051906297604
1.14,10000,0.541385671386736,14.7051906297604
1.15,10000,0.545794531433048,14.7051906297604
1.16,10000,0.550156839306745,14.7051906297604
1.17,10000,0.554472845650298,14.7051906297604
1.18,10000,0.558742814280094,14.7051906297604
1.19,10000,0.562967021353376,14.7051906297604
1.2,10000,0.567145754567167,14.7051906297604
1.21,10000,0.571279312388413,14.7051906297604
1.22,10000,0.575368003314606,14.7051906297604
1.23,10000,0.579412145164081,14.7051906297604
1.24,10000,0.58341206439524,14.7051906297604
1.25,10000,0.58736809545389,14.7051906297604
1.26,10000,0.591280580147922,14.7051906297604
1.27,10000,0.595149867048546,14.7051906297604
1.28,10000,0.598976310917291,14.7051906297604
1.29,10000,0.602760272158,14.7051906297604
1.3,10000,0.606502116293037,14.7051906297604
1.31,10000,0.610202213462953,14.7051906297604
1.32,10000,0.613860937948845,14.7051906297604
1.33,10000,0.617478667716672,14.7051906297604
1.34,10000,0.621055783982782,14.7051906297604
1.35,10000,0.624592670799939,14.7051906297604
1.36,10000,0.628089714663132,14.7051906297604
1.37,10000,0.631547304134479,14.7051906297604
1.38,10000,0.634965829486538,14.7051906297604
1.39,10000,0.63834568236336,14.7051906297604
1.4,10000,0.641687255458631,14.7051906297604
1.41,10000,0.644990942210277,14.7051906297604
1.42,10000,0.648257136510895,14.7051906297604
1.43,10000,0.651486232433422,14.7051906297604
1.44,10000,0.654678623971439,14.7051906297604
1.45,10000,0.65783470479355,14.7051906297604
1.46,10000,0.660954868011274,14.7051906297604
1.47,10000,0.664039505959906,14.7051906297604
1.48,10000,0.667089009991831,14.7051906297604
1.49,10000,0.670103770281778,14.7051906297604
1.5,10000,0.67308417564352,14.7051906297604
