"","effect_sizes","power","omega2","power_uncorrected","runtime"
"60",-0.51,3529,0.0541674916760409,5250,12.18575119555
"61",-0.5,3350,0.0515495516566214,5117,12.18575119555
"62",-0.49,3208,0.0489693491650734,4908,12.18575119555
"63",-0.48,3121,0.0464276195607885,4855,12.18575119555
"64",-0.47,2912,0.0439250934126131,4650,12.18575119555
"65",-0.46,2822,0.0414624960298212,4459,12.18575119555
"66",-0.45,2645,0.0390405469899662,4286,12.18575119555
"67",-0.44,2515,0.0366599596641077,4093,12.18575119555
"68",-0.43,2359,0.0343214407399204,3932,12.18575119555
"69",-0.42,2300,0.0320256897432082,3870,12.18575119555
"70",-0.41,2118,0.0297733985583596,3695,12.18575119555
"71",-0.4,2060,0.0275652509482912,3488,12.18575119555
"72",-0.39,1929,0.0254019220744389,3340,12.18575119555
"73",-0.38,1831,0.0232840780173671,3237,12.18575119555
"74",-0.37,1732,0.021212375298574,3054,12.18575119555
"75",-0.36,1644,0.0191874604040825,2964,12.18575119555
"76",-0.35,1538,0.0172099693104103,2783,12.18575119555
"77",-0.34,1449,0.0152805270135236,2655,12.18575119555
"78",-0.33,1404,0.013399747061379,2581,12.18575119555
"79",-0.32,1281,0.0115682310906683,2451,12.18575119555
"80",-0.31,1250,0.00978656836837825,2354,12.18575119555
"81",-0.3,1138,0.00805533533878386,2229,12.18575119555
"82",-0.29,1031,0.00637509517649104,2047,12.18575119555
"83",-0.28,977,0.00474639734614613,1947,12.18575119555
"84",-0.27,934,0.00316977716942636,1905,12.18575119555
"85",-0.26,815,0.00164575539992294,1743,12.18575119555
"86",-0.25,777,0.000174837806523151,1598,12.18575119555
"87",-0.24,737,0,1570,12.18575119555
"88",-0.23,648,0,1405,12.18575119555
"89",-0.22,638,0,1371,12.18575119555
"90",-0.21,612,0,1344,12.18575119555
"91",-0.2,540,0,1256,12.18575119555
"92",-0.19,482,0,1142,12.18575119555
"93",-0.18,493,0,1161,12.18575119555
"94",-0.17,469,0,1089,12.18575119555
"95",-0.16,388,0,973,12.18575119555
"96",-0.15,351,0,880,12.18575119555
"97",-0.14,371,0,877,12.18575119555
"98",-0.13,331,0,829,12.18575119555
"99",-0.12,294,0,765,12.18575119555
"100",-0.11,285,0,655,12.18575119555
"101",-0.1,255,0,658,12.18575119555
