"word","freq_BNC","valence","researcher_remove"
"uneasy",9.77023,2.23,""
"absurd",9.65035,2.23,""
"unlawful",9.000999,2.05,""
"vicious",8.831169,1.46,""
"helpless",8.321678,1.56,""
"lazy",8.251748,2.18,""
"petty",8.141858,1.45,""
"rotten",8.061938,2.1,""
"nazi",8.011988,1.14,""
"alcoholic",7.762238,1.46,""
"cynical",7.602398,1.65,""
"hopeless",7.552448,1.41,""
"brutal",7.512488,1.5,""
"ignorant",7.452547,2.08,""
"bankrupt",7.412587,1.31,""
"fearful",7.252747,2.24,""
"incomplete",7.112887,1.91,""
"selfish",6.923077,1.7,""
"gloomy",6.763237,2.13,""
"sour",6.653347,2.12,""
"ruthless",6.493506,1.91,""
"lethal",6.493506,2.25,""
"inconsistent",6.443556,1.68,""
"starving",6.443556,1.68,""
"arrogant",6.413586,1.38,""
"bland",6.213786,1.96,""
"corrupt",6.133866,1.34,""
"inefficient",5.794206,1.65,""
"careless",5.774226,1.97,""
"reckless",5.654346,1.91,""
"tortured",5.114885,1.58,""
"irrational",5.114885,2.09,""
"volatile",5.084915,1.84,""
"greedy",4.935065,1.84,""
"discouraged",4.925075,2.03,""
"unreliable",4.865135,1.18,""
"obscene",4.865135,1.6,""
"unskilled",4.695305,1.96,""
"impersonal",4.635365,2.18,""
"inaccurate",4.605395,1.84,""
"annoying",4.555445,1.67,""
"dissatisfied",4.525475,1.98,""
"irritating",4.505495,1.67,""
"dismal",4.305694,1.88,""
"irresponsible",4.295704,2.26,""
"troublesome",4.275724,2.04,""
"insulting",4.225774,1.35,""
"immature",4.185814,1.76,""
"unwise",4.125874,1.82,""
"untidy",4.035964,2.09,""
"insane",4.005994,1.49,""
"unjust",3.896104,1.59,""
"flawed",3.806194,1.59,""
"pessimistic",3.796204,1.99,""
"incompetent",3.756244,1.61,""
"vain",3.616384,1.58,""
"dishonest",3.586414,1.41,""
"negligent",3.566434,2.12,""
"vulgar",3.556444,1.77,""
"moody",3.556444,2.25,""
"disgusted",3.526474,1.27,""
"malicious",3.426573,1.57,""
"irritable",3.406593,1.63,""
"insensitive",3.216783,1.75,""
"immoral",3.206793,1.79,""
"impractical",2.897103,1.97,""
"wasteful",2.867133,1.77,""
"abusive",2.827173,1.37,""
"unhealthy",2.827173,1.46,""
"smug",2.797203,2.22,""
"self-conscious",2.787213,2.13,""
"addicted",2.767233,1.52,""
"prejudiced",2.757243,1.45,""
"dreary",2.717283,1.9,""
"haphazard",2.717283,2.23,""
"unkind",2.697303,1.5,""
"pompous",2.687313,1.9,""
"lifeless",2.627373,2.06,""
"resentful",2.617383,1.95,""
"sluggish",2.497502,1.81,""
"unscrupulous",2.397602,2.14,""
"tiresome",2.377622,2.2,""
"enraged",2.347652,1.88,""
"deceptive",2.317682,1.63,""
"despairing",2.297702,1.89,""
"unproductive",2.277722,1.58,""
"stinking",2.207792,1.61,""
"discriminating",2.127872,1.39,""
"sloppy",2.127872,1.78,""
"painstaking",2.107892,1.99,""
"deformed",2.087912,1.54,""
"possessive",2.017982,2.13,""
"unfriendly",1.938062,1.5,""
"anguished",1.938062,2.03,""
"abusing",1.928072,1.03,""
"morbid",1.908092,1.63,""
"unruly",1.888112,1.97,""
"sinful",1.848152,1.86,""
"envious",1.838162,2.03,""
"unsympathetic",1.618382,2.13,""
"antagonistic",1.598402,2.08,""
"manipulative",1.528472,1.97,""
"cowardly",1.458541,2.14,""
"obnoxious",1.438561,1.49,""
"ungrateful",1.428571,1.13,""
"vindictive",1.368631,2.06,""
"heartless",1.348651,1.37,""
"spiteful",1.328671,2.13,""
"unfaithful",1.318681,1.15,""
"intolerant",1.308691,1.87,""
"grumpy",1.308691,2.12,""
"scheming",1.268731,1.94,""
"displeased",1.218781,2.04,""
"unimaginative",1.188811,1.98,""
"morose",1.188811,2.19,""
"unsophisticated",1.178821,1.75,""
"bossy",1.168831,2.19,""
"lethargic",1.108891,2.19,""
"discontented",1.028971,2.13,""
"shamed",1.028971,2.27,""
"thoughtless",1.018981,1.72,""
"flabby",0.999001,1.91,""
"disloyal",0.979021,1.13,""
"unkindly",0.959041,1.83,""
"unethical",0.919081,1.94,""
"condescending",0.919081,2.04,""
"scolding",0.879121,2.27,""
"unforgiving",0.849151,1.52,""
"nosey",0.849151,2.15,""
"scalding",0.839161,1.86,""
"deceitful",0.789211,1.07,""
"uninspiring",0.779221,1.91,""
