word,valence_condition,let,syl,freq_KF,freq_BNC,freq_TV,freq_PG,freq_BN,noun,adjective,ndim1,ndim2,ndim3,ndim4,ndim5,ndim6,ndim7,adim1,adim2,adim3,adim4,adim5,adim6,adim7,adim8,adim9,adim10,p_hit,p_fa,DP,freq_BNC_strat,valence_strat,arousal_strat,set,iter,valence_abs
defensive,-,9,3,17,12.867133,6.674928,6.40819,5.45098,0,1,-99,-99,-99,-99,-99,-99,-99,2.7,5.86,6.07,5.41,6.65,5.54,5.24,2.2,2.33,4.21,-99,-99,-99,3,2,2,2,15,1.3
combative,-,9,3,-99,1.108891,-99,-99,0.529412,0,1,-99,-99,-99,-99,-99,-99,-99,2.6,5.21,5.44,4.4,5.11,1.79,3.12,2.13,2.42,4.22,-99,-99,-99,1,2,2,2,15,1.4
suspicious,-,10,3,13,13.786214,20.949004,14.2617,15.980392,0,1,-99,-99,-99,-99,-99,-99,-99,2.58,5.09,5.23,3.79,6.32,4.6,3.21,1.68,1.25,3.31,-99,-99,-99,3,2,2,2,15,1.42
mediocre,-,8,4,5,1.768232,1.74575,-99,1.392157,0,1,-99,-99,-99,-99,-99,-99,-99,2.57,3.87,4.5,3.7,7,3.25,4.3,3.26,1.45,2.99,-99,-99,-99,1,2,1,2,15,1.43
indecisive,-,10,4,2,0.969031,-99,-99,0.529412,0,1,-99,-99,-99,-99,-99,-99,-99,2.49,4.39,4.81,4.87,5.77,4.21,2.93,2.29,1.32,4.14,-99,-99,-99,1,2,1,2,15,1.51
childish,-,8,2,11,4.725275,4.176109,14.6747,4.901961,0,1,-99,-99,-99,-99,-99,-99,-99,2.48,4.29,6.18,3.53,6.81,5.82,3.95,3.07,2.4,2.32,-99,-99,-99,2,2,1,2,15,1.52
brooding,-,8,2,14,3.136863,1.369216,7.03872,0.960784,0,1,-99,-99,-99,-99,-99,-99,-99,2.46,5.06,3.8,3.75,5.34,2.49,4.63,2.08,1.73,3.56,-99,-99,-99,2,2,2,2,15,1.54
fickle,-,6,2,1,1.278721,-99,3.16532,1.176471,0,1,-99,-99,-99,-99,-99,-99,-99,2.46,3.76,4.35,2.89,4.86,2.91,3.43,2.54,2.37,3.33,-99,-99,-99,1,2,1,2,15,1.54
unreasonable,-,12,4,3,9.89011,3.491501,8.49203,3.803922,0,1,-99,-99,-99,-99,-99,-99,-99,2.42,4.75,4.15,3.28,6.36,4.18,3.32,1.55,1.26,2.84,-99,-99,-99,3,2,1,2,15,1.58
demanding,-,9,3,19,24.245754,5.921859,7.00312,4.254902,0,1,-99,-99,-99,-99,-99,-99,-99,2.37,5.74,6.1,5.15,6.83,5.53,4.46,2.38,2.6,5.4,-99,-99,-99,3,2,2,2,15,1.63
devious,-,7,3,1,3.196803,2.60151,1.58622,1.745098,0,1,-99,-99,-99,-99,-99,-99,-99,2.35,4.44,5.22,4.2,6.52,4.01,4.16,1.67,1.92,2.86,-99,-99,-99,2,2,1,2,15,1.65
awkward,-,7,2,11,15.754246,17.731346,15.0869,14.313725,0,1,-99,-99,-99,-99,-99,-99,-99,2.29,4.98,6.12,4.53,6.24,5.09,4.33,2.39,1.42,3.52,-99,-99,-99,3,2,2,2,15,1.71
disdainful,-,10,3,2,0.809191,-99,2.44144,0.058824,0,1,-99,-99,-99,-99,-99,-99,-99,2.29,4.7,2.99,3.19,5.19,2.26,3.76,2.54,2.09,3.7,-99,-99,-99,1,2,2,2,15,1.71
insincere,-,9,3,1,0.679321,-99,-99,0.313725,0,1,-99,-99,-99,-99,-99,-99,-99,1.74,4.94,4.35,4.5,6.24,4.95,5.47,1.32,1.21,3.82,-99,-99,-99,1,1,1,2,15,2.26
