word,valence_condition,let,syl,freq_KF,freq_BNC,freq_TV,freq_PG,freq_BN,noun,adjective,ndim1,ndim2,ndim3,ndim4,ndim5,ndim6,ndim7,adim1,adim2,adim3,adim4,adim5,adim6,adim7,adim8,adim9,adim10,p_hit,p_fa,DP,freq_BNC_strat,valence_strat,arousal_strat,set,iter,valence_abs
enthusiastic,+,12,5,24,14.475524,3.149197,12.6423,2.784314,0,1,-99,-99,-99,-99,-99,-99,-99,5.46,2.72,6.37,6.2,6.7,4.33,4.87,5.38,5.47,3.82,-99,-99,-99,2,1,1,1,15,1.46
charming,+,8,2,24,14.025974,22.660523,39.8462,28.117647,0,1,-99,-99,-99,-99,-99,-99,-99,5.73,2.31,6.35,2.55,6,4.57,3.83,5.89,5.52,4.63,-99,-99,-99,2,1,1,1,15,1.73
respectful,+,10,3,4,2.237762,1.471907,10.1375,1.901961,0,1,-99,-99,-99,-99,-99,-99,-99,6.7,2.4,4.22,4.94,6.57,5.89,4.33,6.54,6.64,4.87,-99,-99,-99,1,2,2,1,15,2.7
admirable,+,9,4,10,4.795205,2.60151,22.2554,2.607843,0,1,-99,-99,-99,-99,-99,-99,-99,6.42,2.47,5.41,4.33,6.68,3.28,3.04,6.45,6.69,5.06,-99,-99,-99,1,2,2,1,15,2.42
trusting,+,8,2,4,3.756244,9.721433,7.84647,5.764706,0,1,-99,-99,-99,-99,-99,-99,-99,6.04,2.49,4.51,4.7,6.53,5.47,5.65,6.57,6.22,4.76,-99,-99,-99,1,2,2,1,15,2.04
adventurous,+,11,4,5,4.495504,1.266525,5.70724,1.215686,0,1,-99,-99,-99,-99,-99,-99,-99,6.29,3.07,6.88,5.71,6.6,4.74,3.06,6.07,5.92,3.69,-99,-99,-99,1,2,2,1,15,2.29
purposeful,+,10,3,3,2.697303,-99,-99,0.176471,0,1,-99,-99,-99,-99,-99,-99,-99,5.94,3.65,4.33,4.43,6.4,3.71,4.73,6.42,6.54,5.36,-99,-99,-99,1,2,2,1,15,1.94
self-confident,+,14,4,-99,0.939061,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,6.31,2.38,5.89,4.98,6.95,4.8,3.62,6.04,6.45,5.52,-99,-99,-99,1,2,1,1,15,2.31
playful,+,7,2,3,2.027972,-99,4.58304,1.156863,0,1,-99,-99,-99,-99,-99,-99,-99,6.12,1.94,6.05,3.83,6.21,4.72,3.62,5.69,5.29,4.82,-99,-99,-99,1,2,1,1,15,2.12
compassionate,+,13,4,2,2.457542,4.381491,3.42482,1.784314,0,1,-99,-99,-99,-99,-99,-99,-99,6.52,2.23,5.14,4.52,6.7,4.82,6.05,6.61,6.88,4.93,-99,-99,-99,1,2,1,1,15,2.52
gracious,+,8,2,10,4.335664,5.339942,23.0821,7.156863,0,1,-99,-99,-99,-99,-99,-99,-99,6.26,1.44,5.36,4.62,6.27,5.13,4.98,6.42,5.59,4.67,-99,-99,-99,1,2,1,1,15,2.26
humane,+,6,2,5,3.626374,-99,6.30692,1.823529,0,1,-99,-99,-99,-99,-99,-99,-99,6.04,1.87,5.66,4.29,6.31,4.98,4.93,5.66,4.59,6.07,-99,-99,-99,1,2,1,1,15,2.04
inventive,+,9,3,3,2.307692,-99,2.02609,0.901961,0,1,-99,-99,-99,-99,-99,-99,-99,5.24,3.13,4.8,4.39,6.34,3.19,3.11,5.16,5.08,4.96,-99,-99,-99,1,1,2,1,15,1.24
selfless,+,8,2,2,1.018981,3.696883,-99,1.823529,0,1,-99,-99,-99,-99,-99,-99,-99,5.17,3.07,4.52,3.41,6.27,4.43,5.39,5.69,5.79,4.2,-99,-99,-99,1,1,2,1,15,1.17
witty,+,5,2,10,4.225774,3.696883,6.83619,3.196078,0,1,-99,-99,-99,-99,-99,-99,-99,5.4,2.95,5.25,4.49,6.77,3.73,4.05,5.17,5.66,5.07,-99,-99,-99,1,1,2,1,15,1.4
observant,+,9,3,3,1.348651,-99,3.60915,1.215686,0,1,-99,-99,-99,-99,-99,-99,-99,5.24,3.33,4.85,4.77,6.64,3.92,2.38,5.05,6.1,5.79,-99,-99,-99,1,1,2,1,15,1.24
diligent,+,8,3,2,1.438561,-99,4.94063,0.784314,0,1,-99,-99,-99,-99,-99,-99,-99,5.32,4.24,4.99,4.48,5.71,3.78,2.01,5.9,6.4,5,-99,-99,-99,1,1,2,1,15,1.32
down-to-earth,+,13,3,-99,1.428571,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,5.9,1.78,5.24,4,7,3.02,2.51,5.37,6.41,3.76,-99,-99,-99,1,1,1,1,15,1.9
agreeable,+,9,4,11,4.045954,-99,35.8051,1.588235,0,1,-99,-99,-99,-99,-99,-99,-99,5.83,1.67,6.01,3.57,6.46,5.1,3.79,6.04,5.87,5.02,-99,-99,-99,1,1,1,1,15,1.83
communicative,+,13,5,6,4.705295,-99,-99,0.117647,0,1,-99,-99,-99,-99,-99,-99,-99,5.69,2.56,5.44,4.48,5.22,3.46,2.47,5.87,5.48,5.1,-99,-99,-99,1,1,1,1,15,1.69
affectionate,+,12,4,6,3.326673,1.403446,19.8582,2.254902,0,1,-99,-99,-99,-99,-99,-99,-99,5.89,1.98,6.56,4.27,6.61,4.25,4.8,5.82,5.98,5.52,-99,-99,-99,1,1,1,1,15,1.89
sociable,+,8,3,1,1.758242,-99,2.57197,1,0,1,-99,-99,-99,-99,-99,-99,-99,5.93,2.75,6.06,5.5,6.5,4.89,3.48,5.94,6.18,4.57,-99,-99,-99,1,1,1,1,15,1.93
mean,-,4,1,200,440.48951,2105.306396,211.299,1243.980392,1,1,2.06,5.4,4.63,3.53,6.36,4.5,4.76,2.06,4.58,5.74,4.7,7,5.1,4.26,1.58,1.69,2.04,0.631579,0,2.662386,3,2,1,1,15,1.94
foolish,-,7,2,17,11.618382,11.604105,40.5234,17.509804,0,1,-99,-99,-99,-99,-99,-99,-99,2.32,4.43,5.21,3.47,6.45,3.73,3.52,2.36,2.14,3.41,-99,-99,-99,3,2,1,1,15,1.68
shallow,-,7,2,14,14.045954,7.530688,13.6027,5.901961,0,1,-99,-99,-99,-99,-99,-99,-99,2.23,4.37,3.79,2.74,6.55,3.72,3.47,2.05,1.71,2.88,-99,-99,-99,3,2,1,1,15,1.77
weak,-,4,1,32,35.674326,28.41123,59.5107,31.509804,0,1,-99,-99,-99,-99,-99,-99,-99,2.09,4.34,5.43,4.48,5.86,5.4,4.42,2.69,1.44,2.98,-99,-99,-99,3,2,1,1,15,1.91
withdrawn,-,9,2,4,16.813187,1.814211,12.0901,2.254902,0,1,-99,-99,-99,-99,-99,-99,-99,1.92,4.29,6.14,3.48,6.87,3.26,4.35,1.72,1.6,4.09,-99,-99,-99,3,2,1,1,15,2.08
aggressive,-,10,3,17,19.310689,6.606467,4.66136,7.941176,0,1,-99,-99,-99,-99,-99,-99,-99,2.58,5.88,6.59,5.23,6.55,5.98,6.23,2.75,2.35,3.09,-99,-99,-99,3,2,2,1,15,1.42
disturbed,-,9,2,26,16.633367,8.454908,27.8257,9.862745,0,1,-99,-99,-99,-99,-99,-99,-99,2.16,5.62,5.33,3.55,6.47,2.9,4.37,1.63,1.33,2.71,-99,-99,-99,3,2,2,1,15,1.84
bitter,-,6,2,53,25.044955,11.946409,49.5448,11.137255,0,1,-99,-99,-99,-99,-99,-99,-99,2.03,5.11,5.39,3.48,6.62,3.84,4.24,1.63,1.24,3.06,-99,-99,-99,3,2,2,1,15,1.97
