word,let,syl,freq_KF,freq_BNC,freq_TV,freq_PG,freq_BN,noun,adjective,ndim1,ndim2,ndim3,ndim4,ndim5,ndim6,ndim7,adim1,adim2,adim3,adim4,adim5,adim6,adim7,adim8,adim9,adim10,p_hit,p_fa,DP
parsley,7,2,1,3.806194,-99,3.37972,0.843137,1,0,3.76,3.08,5.29,5.82,5.73,2.2,1.58,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.833333,0.08,2.372493
penthouse,9,2,1,1.298701,12.151791,-99,4.529412,1,0,5.09,2.8,5.85,5.76,6.09,3,2.61,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.791667,0,3.138566
perch,5,1,1,2.967033,-99,4.12418,0.980392,1,0,4,2.91,5.43,4.91,6.02,2.81,1.89,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.666667,0,2.757075
pliers,6,2,1,0.719281,-99,-99,1.156863,1,0,3.38,3.27,6.22,5.63,6.22,2.35,1.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.818182,0.03125,2.77119
plum,4,1,1,2.857143,1.916902,2.65504,3.411765,1,0,4.87,2.7,6.48,6.54,6.64,2.48,1.87,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.818182,0.088235,2.26016
profane,7,2,1,0.869131,-99,6.13445,0.54902,0,1,-99,-99,-99,-99,-99,-99,-99,2.3,3.93,4.76,3.97,5.43,4.04,3.54,2.33,2.19,3.85,-99,-99,-99
punishable,10,4,1,1.288711,-99,-99,0.823529,0,1,-99,-99,-99,-99,-99,-99,-99,2.32,4.75,3.31,4.25,6.69,3.75,3.29,2.02,1.77,4.34,-99,-99,-99
purposeless,11,3,1,0.30969,-99,-99,0.039216,0,1,-99,-99,-99,-99,-99,-99,-99,1.82,4.26,3.87,4.47,6.27,2.92,3.69,1.86,1.39,2.24,-99,-99,-99
rabies,6,2,1,0.819181,1.506138,-99,2.196078,1,0,1.88,4.94,3.85,5.32,6.02,2,3.11,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.897436,0.043478,2.978751
rash,4,1,1,4.425574,8.009913,9.40817,8.039216,1,1,2.32,4.59,5.42,5.27,5.94,3.02,2.97,2.62,5.32,3.99,3.68,5.99,3.92,3.89,3.17,2.44,3.39,0.466667,0.028571,1.818565
repentant,9,3,1,0.35964,-99,1.90346,0.235294,0,1,-99,-99,-99,-99,-99,-99,-99,3.98,4.74,4.47,3.99,6.84,2.14,3.71,4.43,4.5,4.65,-99,-99,-99
riddle,6,2,1,3.176823,3.559961,4.51421,4.529412,1,0,4.24,3.36,4.08,3.92,5.96,3.72,2.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.636364,0,2.675104
sailboat,8,2,1,0.13986,1.369216,-99,1.607843,1,0,5.1,2.42,6.28,6.32,6.53,3,2.32,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.758621,0,3.02822
sap,3,1,1,3.046953,2.978045,4.06326,3.490196,1,0,3.88,3.05,4.94,5.64,5.64,2.35,2.05,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.56,0.03125,2.013701
sarcastic,9,3,1,1.998002,3.833805,4.08541,2.607843,0,1,-99,-99,-99,-99,-99,-99,-99,3.74,4.36,5.56,4.86,6.43,5.87,4.38,4.75,4.93,4.9,-99,-99,-99
scalding,8,2,1,0.839161,-99,-99,0.392157,0,1,-99,-99,-99,-99,-99,-99,-99,1.86,5.22,5.82,4.02,5.89,2.82,2.09,1.86,1.84,2.23,-99,-99,-99
scapegoat,9,2,1,1.668332,-99,-99,1.098039,1,0,2.88,3.77,4.07,4.18,5.66,3.29,3.25,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.9375,0.071429,2.999354
scissors,8,2,1,4.405594,5.476864,3.38447,6.686275,1,0,3.44,3.66,6.66,6.29,6.55,3.29,2.03,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.689655,0.058824,2.0596
scurvy,6,2,1,0.539461,-99,2.20805,1.078431,1,0,2.34,4.34,3.15,4.5,4.31,1.46,2.28,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.818182,0.066667,2.409544
sequel,6,2,1,2.567433,1.369216,3.92402,1.764706,1,0,4.32,3.03,4.41,5.06,6.61,4.16,2.06,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.714286,0,2.892297
shamed,6,1,1,1.028971,-99,-99,0.862745,0,1,-99,-99,-99,-99,-99,-99,-99,2.27,4.15,5.02,3.97,6.51,4,3.41,2.4,1.16,3.25,-99,-99,-99
shark,5,1,1,3.156843,9.036825,2.61232,14.980392,1,0,2.65,5.11,6.69,5.96,6.84,3.5,3.16,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.714286,0.055556,2.159168
showy,5,2,1,0.649351,-99,3.19064,0.294118,0,1,-99,-99,-99,-99,-99,-99,-99,2.65,3.73,4.94,5.14,6.58,4.53,3.21,2.29,2.32,4.79,-99,-99,-99
slothful,8,2,1,0.06993,-99,-99,0.058824,0,1,-99,-99,-99,-99,-99,-99,-99,2.07,3.93,5.71,3.95,5.05,1.31,2.94,2.39,2.02,3.22,-99,-99,-99
sneer,5,1,1,1.878122,-99,6.4691,0.745098,1,0,2.28,4.68,4.68,4.52,5.72,3.24,4.12,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.64,0.15,1.394892
snob,4,1,1,1.168831,2.396128,-99,2.176471,1,0,2.11,4.6,4.74,3.8,5.62,2.94,4.02,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.814815,0.028571,2.797996
sociable,8,3,1,1.758242,-99,2.57197,1,0,1,-99,-99,-99,-99,-99,-99,-99,5.93,2.75,6.06,5.5,6.5,4.89,3.48,5.94,6.18,4.57,-99,-99,-99
spill,5,1,1,5.014985,11.261801,1.72546,8.470588,1,0,2.84,3.84,6.16,5.6,6.6,4.44,2.56,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.73913,0.105263,1.892786
