"word","freq_BNC","valence","researcher_remove","condition"
"indifferent",6.183816,3.24,"","-"
"sly",5.254745,2.97,"","-"
"inhibited",5.194805,2.67,"","-"
"unlucky",5.094905,2.47,"","-"
"subdued",5.034965,3.12,"","-"
"inexperienced",5.004995,2.44,"","-"
"prudent",4.925075,2.91,"","-"
"clumsy",4.815185,3.1,"","-"
"childish",4.725275,2.48,"","-"
"shrewd",4.715285,2.28,"","-"
"rash",4.425574,2.62,"","-"
"feeble",4.415584,2.61,"","-"
"rusty",4.405594,2.48,"","-"
"stubborn",4.285714,2.71,"","-"
"gigantic",4.055944,3.04,"","-"
"erratic",4.015984,3.16,"","-"
"withdrawing",3.826174,3.06,"","-"
"forceful",3.756244,2.89,"","-"
"defiant",3.586414,2.85,"","-"
"messy",3.566434,2.71,"","-"
"imperfect",3.536464,3.04,"","-"
"ominous",3.506494,2.59,"","-"
"dominating",3.496503,2.5,"","-"
"insecure",3.396603,2.32,"","-"
"devious",3.196803,2.35,"","-"
"brooding",3.136863,2.46,"","-"
"uncompromising",3.026973,2.58,"","-"
"timid",2.997003,2.84,"","-"
"hinder",2.887113,2.59,"","-"
"thirsty",2.887113,3.25,"","-"
"hesitant",2.827173,2.91,"","-"
"neurotic",2.727273,2.55,"","-"
"flamboyant",2.717283,3.05,"","-"
"mischievous",2.707293,2.35,"","-"
"secretive",2.497502,2.65,"","-"
"intrusive",2.447552,2.49,"","-"
"compulsive",2.447552,2.91,"","-"
"aloof",2.357642,3.02,"","-"
"illogical",2.267732,2.34,"","-"
"stagnant",2.257742,2.51,"","-"
"impotent",2.227772,2.56,"","-"
"closet",2.177822,3.02,"","-"
"undecided",2.057942,2.79,"","-"
"caustic",1.978022,2.65,"","-"
"disagreeable",1.888112,2.41,"","-"
"superstitious",1.858142,2.73,"","-"
"mediocre",1.768232,2.57,"","-"
"pungent",1.728272,2.44,"","-"
"curt",1.658342,3.03,"","-"
"boisterous",1.468531,2.67,"","-"
"submissive",1.418581,3.15,"","-"
"argumentative",1.398601,2.33,"","-"
"uninteresting",1.378621,2.38,"","-"
"temperamental",1.378621,2.52,"","-"
"scornful",1.358641,2.28,"","-"
"gullible",1.358641,3.05,"","-"
"obstinate",1.308691,3.03,"","-"
"punishable",1.288711,2.32,"","-"
"fickle",1.278721,2.46,"","-"
"gruff",1.278721,2.5,"","-"
"scorching",1.248751,2.64,"","-"
"conforming",1.228771,3,"","-"
"materialistic",1.168831,2.54,"","-"
"embattled",1.118881,2.78,"","-"
"combative",1.108891,2.6,"","-"
"belligerent",1.078921,2.41,"","-"
"overcast",1.078921,2.86,"","-"
"frigid",1.018981,2.61,"","-"
"self-indulgent",1.008991,2.61,"","-"
"foolhardy",0.989011,3.02,"","-"
"apathetic",0.989011,3.17,"","-"
"indecisive",0.969031,2.49,"","-"
"surly",0.949051,2.62,"","-"
"insolent",0.939061,2.46,"","-"
"profane",0.869131,2.3,"","-"
"forgetful",0.859141,3.03,"","-"
"self-righteous",0.829171,2.69,"","-"
"introverted",0.819181,2.52,"","-"
"flippant",0.819181,2.96,"","-"
"disdainful",0.809191,2.29,"","-"
"decomposed",0.789211,2.32,"","-"
"domineering",0.789211,2.88,"","-"
"listless",0.789211,3.17,"","-"
"rancid",0.769231,1.61,"","-"
"disobedient",0.749251,2.34,"","-"
"tactless",0.739261,2.16,"","-"
"uncompetitive",0.709291,2.72,"","-"
"imitative",0.699301,3.19,"","-"
"insincere",0.679321,1.74,"","-"
"narrow-minded",0.649351,1.67,"","-"
"narcotic",0.649351,2.26,"","-"
"aimless",0.649351,2.42,"","-"
"squeamish",0.649351,2.47,"","-"
"showy",0.649351,2.65,"","-"
