volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
36,25,44.91030220000539,46.11030980006326,1.005035,-0.315889,feedback,3,0,False,0.0,0.44366666666666665,-0.33333333333333326
37,25,46.14194600004703,47.34194960007444,1.057582,-0.185415,feedback,3,0,False,0.21590223463574104,0.44366666666666665,-0.33333333333333326
38,25,47.356573500088416,48.556577700003984,1.161402,0.082445,feedback,3,0,False,0.4190674659022812,0.44366666666666665,-0.33333333333333326
39,25,48.5260390000185,49.726043400052006,1.30475,0.21576,feedback,4,0,False,0.0,0.4880333333333333,-0.33333333333333326
40,25,49.73020680004265,50.93021070007235,1.522835,0.496686,feedback,4,0,False,0.18178020027835512,0.4880333333333333,-0.33333333333333326
41,25,50.909958100062795,52.10996240009554,1.359046,0.363904,feedback,4,0,False,0.3423649830261024,0.4880333333333333,-0.33333333333333326
42,25,52.10196260001976,53.30196650004946,1.312231,0.359056,feedback,5,0,False,0.0,0.5368366666666667,-0.33333333333333326
43,25,53.34518350008875,54.54518709999975,1.097574,0.316301,feedback,5,0,False,0.15910921349169527,0.5368366666666667,-0.33333333333333326
44,25,54.52061890007462,55.72062279998791,1.171527,0.090862,feedback,5,0,False,0.2868066332982617,0.5368366666666667,-0.33333333333333326
45,25,55.71445530001074,56.914458800037394,1.258939,0.045084,feedback,5,0,False,0.4634390424244739,0.5368366666666667,-0.33333333333333326
46,25,56.93081020005047,58.13081410008017,1.428627,0.480514,feedback,6,0,False,0.0,0.5905203333333334,-0.33333333333333326
47,25,58.13563460006844,59.33563869998325,1.357858,0.346802,feedback,6,0,False,0.15496706501448715,0.5905203333333334,-0.33333333333333326
48,25,59.343687399988994,60.54369120001793,1.451562,0.242428,feedback,6,0,False,0.31670596719183136,0.5905203333333334,-0.33333333333333326
49,25,60.545006600092165,61.74500990000088,1.498777,0.200385,feedback,6,0,False,0.5017216566163629,0.5905203333333334,-0.33333333333333326
50,25,61.71337920008227,62.913382999994795,1.371368,0.030253,feedback,7,0,False,0.0,0.6495723666666668,-0.33333333333333326
51,25,63.004958800040185,64.20496260006912,1.327941,0.067516,feedback,7,0,False,0.23785793522192628,0.6495723666666668,-0.33333333333333326
52,25,64.11082400009036,65.31082780000288,1.297918,0.040455,feedback,7,0,False,0.4219553744260184,0.6495723666666668,-0.33333333333333326
53,25,65.34949330007657,66.54949729999062,1.179792,0.071713,feedback,7,0,False,0.6274850428034303,0.6495723666666668,-0.33333333333333326
54,25,66.53044580004644,67.73044940007385,1.255125,0.411407,feedback,8,0,False,0.0,0.7145296033333337,-0.33333333333333326
55,25,67.71738360007294,68.9173872999847,1.070311,0.119429,feedback,8,0,False,0.1320356709701649,0.7145296033333337,-0.33333333333333326
56,25,68.91575210005976,70.11575610009022,0.852316,-0.232749,feedback,8,0,False,0.2841485220686172,0.7145296033333337,-0.33333333333333326
57,25,70.11906190006994,71.31906619998627,0.855659,-0.380947,feedback,8,0,False,0.45772666402223827,0.7145296033333337,-0.33333333333333326
58,25,71.35701810009778,72.55702230001334,0.939954,-0.530772,feedback,8,0,False,0.6598472998528883,0.7145296033333337,-0.33333333333333326
59,25,72.51696670008823,73.7169704,0.938742,-0.400241,feedback,9,0,False,0.0,0.7859825636666672,-0.33333333333333326
60,25,73.71345280006062,74.91345660008956,0.986346,-0.379735,feedback,9,0,False,0.21419747319053237,0.7859825636666672,-0.33333333333333326
61,25,74.90890949999448,76.1089136000257,0.886434,-0.486567,feedback,9,0,False,0.4327298207809022,0.7859825636666672,-0.33333333333333326
62,25,76.11117920000106,77.31118330003228,0.758644,-0.500343,feedback,9,0,False,0.6571439309470474,0.7859825636666672,-0.33333333333333326
63,25,77.35335530003067,78.55335870005656,0.711855,-0.213251,feedback,10,0,False,0.0,0.7859825636666672,-0.33333333333333326
64,25,78.52207150007598,79.72207539998927,0.519124,-0.314525,feedback,10,0,False,0.14155513316205742,0.7859825636666672,-0.33333333333333326
65,25,79.71557460003532,80.91557810006198,0.478246,-0.36276,feedback,10,0,False,0.2720150795761516,0.7859825636666672,-0.33333333333333326
66,25,80.93834039999638,82.13834420002532,0.52945,-0.17045,feedback,10,0,False,0.4094757319241035,0.7859825636666672,-0.33333333333333326
67,25,82.1458345000865,83.34583789999597,0.480654,-0.260984,feedback,10,0,False,0.5214389245008982,0.7859825636666672,-0.33333333333333326
68,25,83.31080179999117,84.5108103000559,0.560621,-0.3985,feedback,10,0,False,0.6323415628684781,0.7859825636666672,-0.33333333333333326
69,25,84.5173039000947,85.71730790000875,0.644569,-0.358989,feedback,11,0,False,0.0,0.7859825636666672,-0.33333333333333326
70,25,85.70758680009749,86.9075909000123,0.656972,-0.227625,feedback,11,0,False,0.16751942095973849,0.7859825636666672,-0.33333333333333326
71,25,86.90902080002706,88.10902650007047,0.482433,-0.235504,feedback,11,0,False,0.3121049300821949,0.7859825636666672,-0.33333333333333326
72,25,88.12521160009783,89.32521600001492,0.311352,-0.419852,feedback,11,0,False,0.429450214616115,0.7859825636666672,-0.33333333333333326
73,25,89.3063946000766,90.50639859999065,0.277947,-0.550606,feedback,11,0,False,0.5464211165519947,0.7859825636666672,-0.33333333333333326
74,25,90.52698269998655,91.72698650001549,0.248826,-0.448163,feedback,11,0,False,0.6760835763896915,0.7859825636666672,-0.33333333333333326
75,25,91.74426190007944,92.94426529998891,0.248055,-0.615152,feedback,12,0,False,0.0,0.7859825636666672,-0.33333333333333326
76,25,92.92145280004479,94.1214572000783,0.233656,-0.669804,feedback,12,0,False,0.13208365509619466,0.7859825636666672,-0.33333333333333326
77,25,94.12649669998791,95.32650070001837,0.301236,-0.61095,feedback,12,0,False,0.28289416735386624,0.7859825636666672,-0.33333333333333326
78,25,95.32403410004918,96.52403780007735,0.301563,-0.376185,feedback,12,0,False,0.42564457751412305,0.7859825636666672,-0.33333333333333326
79,25,96.53189510002267,97.73189950005617,0.23028,-0.527197,feedback,12,0,False,0.538778001308882,0.7859825636666672,-0.33333333333333326
80,25,97.7065917000873,98.90659580000211,0.245447,-0.582507,feedback,12,0,False,0.657317589108912,0.7859825636666672,-0.33333333333333326
81,25,98.9363219999941,100.13632550002076,0.303255,-0.4864,feedback,13,0,False,0.0,0.7859825636666672,-0.33333333333333326
82,25,100.15220040001441,101.35220410004258,0.284467,-0.486678,feedback,13,0,False,0.12906743998238066,0.7859825636666672,-0.33333333333333326
83,25,101.34435210004449,102.5443557000719,0.324133,-0.497209,feedback,13,0,False,0.2524277145067875,0.7859825636666672,-0.33333333333333326
84,25,102.50198140006978,103.70198520009872,0.456206,-0.322816,feedback,13,0,False,0.38096170580006034,0.7859825636666672,-0.33333333333333326
85,25,103.73637629998848,104.9363804000197,0.62478,0.206434,feedback,13,0,False,0.508291204416487,0.7859825636666672,-0.33333333333333326
86,25,104.90481600002386,106.10482000005432,0.406821,0.04506,feedback,13,0,False,0.5737592812000611,0.7859825636666672,-0.33333333333333326
87,25,106.12072920007631,107.32073289998807,0.248833,0.011774,feedback,13,0,False,0.6366625476756669,0.7859825636666672,-0.33333333333333326
88,25,107.3311001000693,108.53110390009824,0.09692,-0.186365,feedback,13,0,False,0.6745849401161074,0.7859825636666672,-0.33333333333333326
89,25,108.55905480007641,109.75905849998817,0.163559,-0.285997,feedback,13,0,False,0.7228575864397037,0.7859825636666672,-0.33333333333333326
90,25,109.70810899999924,110.9081125000259,0.271293,-0.526388,feedback,14,0,False,0.0,0.7859825636666672,-0.33333333333333326
91,25,110.95488010009285,112.1548841000069,0.303837,-0.54867,feedback,14,0,False,0.13592732686888917,0.7859825636666672,-0.33333333333333326
92,25,112.13874419999775,113.33874830002897,0.526014,-0.333797,feedback,14,0,False,0.26933841179508816,0.7859825636666672,-0.33333333333333326
93,25,113.33076979999896,114.53077350002714,0.812546,-0.097193,feedback,14,0,False,0.40389251908274504,0.7859825636666672,-0.33333333333333326
