volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
68,25,83.31267350004055,84.51267720006872,0.3056,-0.062678,feedback,2,0,False,0.0,0.40333333333333327,-0.33333333333333326
69,25,84.53968220006209,85.73968570008874,0.137526,-0.303152,feedback,2,0,False,0.03969769761491999,0.40333333333333327,-0.33333333333333326
70,25,85.73455890000332,86.93456240002998,0.180228,-0.212993,feedback,2,0,False,0.0917965475234149,0.40333333333333327,-0.33333333333333326
71,25,86.93302200001199,88.1330256000394,0.213879,-0.07177,feedback,2,0,False,0.1382848266294022,0.40333333333333327,-0.33333333333333326
72,25,88.13470240007155,89.33470619998407,0.24471,-0.017137,feedback,2,0,False,0.1730487354253474,0.40333333333333327,-0.33333333333333326
73,25,89.33090870000888,90.53091240003705,0.354345,0.076851,feedback,2,0,False,0.2021844336571674,0.40333333333333327,-0.33333333333333326
74,25,90.49517390003894,91.69517760006711,0.3466,0.084667,feedback,2,0,False,0.23499096871566327,0.40333333333333327,-0.33333333333333326
75,25,91.74495790002402,92.9449616000522,0.345903,0.019087,feedback,2,0,False,0.26686860498482035,0.40333333333333327,-0.33333333333333326
76,25,92.92950359999668,94.12950710002333,0.285865,-0.101628,feedback,2,0,False,0.3020969996858816,0.40333333333333327,-0.33333333333333326
77,25,94.15186600002926,95.35186960005667,0.287235,-0.178935,feedback,2,0,False,0.347908089977641,0.40333333333333327,-0.33333333333333326
78,25,95.34464170003776,96.54464520006441,0.196755,-0.149759,feedback,2,0,False,0.40139975432218544,0.40333333333333327,-0.33333333333333326
79,25,96.5120794000104,97.71208300003782,0.166379,-0.131484,feedback,3,0,False,0.0,0.44366666666666665,-0.33333333333333326
80,25,97.68001510004979,98.8800187000772,0.198895,-0.03428,feedback,3,0,False,0.03210747127081418,0.44366666666666665,-0.33333333333333326
81,25,98.90460990008432,100.10461349999532,0.248678,-0.027182,feedback,3,0,False,0.059674423393255724,0.44366666666666665,-0.33333333333333326
82,25,100.12724489998072,101.32724850000814,0.244798,0.035978,feedback,3,0,False,0.09228777993875498,0.44366666666666665,-0.33333333333333326
83,25,101.32900909997988,102.52901280000806,0.220691,0.069586,feedback,3,0,False,0.11624927327472116,0.44366666666666665,-0.33333333333333326
84,25,102.52978980005719,103.72979350008536,0.143593,-0.037518,feedback,3,0,False,0.13253729644771123,0.44366666666666665,-0.33333333333333326
85,25,103.69508770003449,104.89509150006343,0.192937,-0.03564,feedback,3,0,False,0.1539490183983811,0.44366666666666665,-0.33333333333333326
