volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,ball_y_position,top_circle_y_position,bottom_circle_y_position
45,25,55.57013159999951,56.770135799998755,-0.122657,-0.221475,feedback,0,0,-0.14061696474865065,0.33333333333333326,-0.33333333333333326
46,25,56.76930419999917,57.96930829999947,-0.077561,-0.056831,feedback,0,0,-0.12861120977208973,0.33333333333333326,-0.33333333333333326
47,25,57.972835999999006,59.17283979999884,0.004473,-0.091469,feedback,0,0,-0.13112977218646837,0.33333333333333326,-0.33333333333333326
48,25,59.170664999999644,60.37067369999859,0.099846,-0.047218,feedback,0,0,-0.11980647108323363,0.33333333333333326,-0.33333333333333326
49,25,60.36937709999984,61.569380999998614,0.060621,0.138286,feedback,0,0,-0.10193913568003915,0.33333333333333326,-0.33333333333333326
50,25,61.56753729999946,62.76754109999929,-0.004589,0.029315,feedback,0,0,-0.11137493644765806,0.33333333333333326,-0.33333333333333326
51,25,62.760775799999465,63.96078339999913,-0.034831,0.087934,feedback,0,0,-0.11537636648459754,0.33333333333333326,-0.33333333333333326
52,25,64.00652209999862,65.20652579999951,0.021852,0.11203,feedback,0,0,-0.13071767629487163,0.33333333333333326,-0.33333333333333326
53,25,65.1695536999996,66.36955739999867,-0.004307,0.12178,feedback,0,0,-0.1410476665179132,0.33333333333333326,-0.33333333333333326
54,25,66.35811099999955,67.55811439999998,0.066304,-0.048083,feedback,0,0,-0.1554910726397238,0.33333333333333326,-0.33333333333333326
55,25,67.58497419999912,68.78497859999989,0.107786,0.151159,feedback,0,0,-0.14159378373988926,0.33333333333333326,-0.33333333333333326
56,25,68.78236909999941,69.98237329999866,0.079468,0.083591,feedback,0,0,-0.14686332583341846,0.33333333333333326,-0.33333333333333326
57,25,69.94044629999917,71.14045789999837,-0.088554,-0.063209,feedback,0,0,-0.14734993201682792,0.33333333333333326,-0.33333333333333326
58,25,71.1577604999984,72.35776399999959,-0.023312,-0.050493,feedback,0,0,-0.15025322996314514,0.33333333333333326,-0.33333333333333326
59,25,72.36953809999977,73.5695416999999,0.005785,0.306922,feedback,0,0,-0.14695091230828589,0.33333333333333326,-0.33333333333333326
60,25,73.58620139999948,74.78620529999826,-0.736795,2.140486,feedback,0,0,-0.1835371317862818,0.33333333333333326,-0.33333333333333326
61,25,74.78715629999897,75.98716089999944,-0.092069,2.752485,feedback,0,1,0.0,0.33333333333333326,-0.36666666666666664
62,25,76.00705279999966,77.20706029999856,-0.381795,2.354692,feedback,0,1,-0.3554692639274598,0.33333333333333326,-0.36666666666666664
63,25,77.18591799999922,78.38592129999888,0.142359,1.665409,feedback,0,2,0.0,0.33333333333333326,-0.40333333333333327
64,25,78.37209179999991,79.57209569999868,0.003558,0.86377,feedback,0,2,-0.1850408338263328,0.33333333333333326,-0.40333333333333327
65,25,79.61099119999926,80.81100279999846,-0.017786,0.501476,feedback,0,2,-0.2925370973747023,0.33333333333333326,-0.40333333333333327
66,25,80.79095259999849,81.99095679999955,0.050076,0.047505,feedback,0,2,-0.35201913715377,0.33333333333333326,-0.40333333333333327
67,25,82.00651309999921,83.2065169999998,0.051564,-0.381583,feedback,0,2,-0.35171570167049426,0.33333333333333326,-0.40333333333333327
68,25,83.16662669999823,84.36663059999883,0.061189,-0.546652,feedback,0,2,-0.3005946712254055,0.33333333333333326,-0.40333333333333327
69,25,84.35815569999977,85.5581592999999,0.022502,-0.747585,feedback,0,2,-0.2267458773750182,0.33333333333333326,-0.40333333333333327
70,25,85.55048799999895,86.75049159999908,0.144808,-0.813861,feedback,0,2,-0.13585839351303397,0.33333333333333326,-0.40333333333333327
71,25,86.7899467999996,87.9899540999988,0.039973,-1.201717,feedback,0,2,-0.016058465728195345,0.33333333333333326,-0.40333333333333327
72,25,88.00936419999925,89.20936819999879,0.109174,-1.27768,feedback,0,2,0.13479892762975046,0.33333333333333326,-0.40333333333333327
73,25,89.21821089999867,90.4182144999988,0.089366,-1.396174,feedback,0,2,0.2840363738671773,0.33333333333333326,-0.40333333333333327
74,25,90.38359359999959,91.58359779999883,0.163043,-1.555228,feedback,1,2,0.0,0.36666666666666664,-0.40333333333333327
75,25,91.57253879999917,92.77254269999976,0.036719,-1.989087,feedback,1,2,0.20875893672539114,0.36666666666666664,-0.40333333333333327
76,25,92.77192709999872,93.97193109999826,0.022757,-2.071104,feedback,2,2,0.0,0.40333333333333327,-0.40333333333333327
77,25,93.99278539999978,95.19279009999919,0.053861,-2.223029,feedback,2,2,0.2543907195144214,0.40333333333333327,-0.40333333333333327
78,25,95.17179829999986,96.37180669999834,-0.059954,-2.529735,feedback,3,2,0.0,0.44366666666666665,-0.40333333333333327
79,25,96.36839589999909,97.56840479999956,-0.128642,-2.708748,feedback,3,2,0.2914893781873174,0.44366666666666665,-0.40333333333333327
80,25,97.55400809999992,98.75401209999946,-0.216476,-3.103013,feedback,4,2,0.0,0.4880333333333333,-0.40333333333333327
81,25,98.76903029999994,99.96903879999918,-0.251879,-4.297472,feedback,4,2,0.3506957836909894,0.4880333333333333,-0.40333333333333327
82,25,99.9918848999987,101.19188879999929,-0.435276,-4.543465,feedback,5,2,0.0,0.5368366666666667,-0.40333333333333327
83,25,101.17548279999937,102.37548609999904,-0.272541,-4.514591,feedback,5,2,0.4848581542598214,0.5368366666666667,-0.40333333333333327
84,25,102.39079119999951,103.59079509999829,-0.480962,-4.620459,feedback,6,2,0.0,0.5905203333333334,-0.40333333333333327
85,25,103.56752979999874,104.76753349999963,-0.573289,-4.782311,feedback,6,2,0.47418398654115923,0.5905203333333334,-0.40333333333333327
86,25,104.78319199999896,105.9831959999985,-0.499719,-4.616103,feedback,7,2,0.0,0.6495723666666668,-0.40333333333333327
87,25,105.94213599999966,107.14213969999874,-0.578493,-4.236009,feedback,7,2,0.48582534748636486,0.6495723666666668,-0.40333333333333327
88,25,107.18359769999915,108.38360169999869,-0.672688,-4.025855,feedback,8,2,0.0,0.7145296033333337,-0.40333333333333327
89,25,108.35126049999963,109.55126469999887,-0.619472,-3.925117,feedback,8,2,0.3957486772261316,0.7145296033333337,-0.40333333333333327
90,25,109.59169009999823,110.79169429999929,-0.719732,-3.840683,feedback,9,2,0.0,0.7859825636666672,-0.40333333333333327
91,25,110.76573019999887,111.96573449999887,-0.513648,-3.781775,feedback,9,2,0.3575084091085506,0.7859825636666672,-0.40333333333333327
