volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,ball_y_position,top_circle_y_position,bottom_circle_y_position
36,25,44.736359899980016,45.93637359996792,0.016495,-0.000181,feedback,0,3,-0.14022041860342147,0.3333333333333333,-0.44366666666666676
37,25,45.938564399955794,47.138578399945985,0.097731,0.015552,feedback,0,3,-0.12910283624510474,0.3333333333333333,-0.44366666666666676
38,25,47.15145330002997,48.3514672000194,0.13759,0.002274,feedback,0,3,-0.08915381641889372,0.3333333333333333,-0.44366666666666676
39,25,48.33483319997322,49.5348466999596,0.10651,0.109703,feedback,0,3,0.02032303855320042,0.3333333333333333,-0.44366666666666676
40,25,49.53056560002733,50.73058659995441,0.156125,0.117503,feedback,0,3,0.01822758536671897,0.3333333333333333,-0.44366666666666676
41,25,50.78184089995921,51.98185109992046,0.147561,0.122107,feedback,0,3,0.04115991153255187,0.3333333333333333,-0.44366666666666676
42,25,51.966027299989946,53.166041199979375,0.206749,0.065511,feedback,0,3,0.0551245715520305,0.3333333333333333,-0.44366666666666676
43,25,53.13284949993249,54.332863099919635,0.280204,0.088136,feedback,0,3,0.15860334078289504,0.3333333333333333,-0.44366666666666676
44,25,54.383763700025156,55.58377740001306,0.299337,0.038712,feedback,0,3,0.2839838714290963,0.3333333333333333,-0.44366666666666676
45,25,55.54982249997556,56.74983619996347,0.310924,-0.142932,feedback,1,3,0.0,0.3666666666666667,-0.44366666666666676
46,25,56.73333980003372,57.933353500021624,0.202447,-0.065692,feedback,1,3,0.27263488458194873,0.3666666666666667,-0.44366666666666676
47,25,57.99130350002088,59.19131359998137,0.173083,-0.010661,feedback,2,3,0.0,0.4033333333333334,-0.44366666666666676
48,25,59.107339399983175,60.30734869993758,0.093331,0.047264,feedback,2,3,0.09953022939782996,0.4033333333333334,-0.44366666666666676
49,25,60.35681119991932,61.556825100025165,0.020459,-0.013885,feedback,2,3,0.12336403756169624,0.4033333333333334,-0.44366666666666676
50,25,61.49677879991941,62.69679210002069,0.122116,-0.033669,feedback,2,3,0.14423325501553705,0.4033333333333334,-0.44366666666666676
51,25,62.762302899966016,63.96231299992651,0.064258,0.000618,feedback,2,3,0.2664839447224626,0.4033333333333334,-0.44366666666666676
52,25,63.91394240001682,65.11395620000549,0.041986,-0.00103,feedback,2,3,0.3053759269829893,0.4033333333333334,-0.44366666666666676
53,25,65.14146459999029,66.34147809997667,0.086822,0.010569,feedback,2,3,0.32718313766935825,0.4033333333333334,-0.44366666666666676
54,25,66.33221110003069,67.5322248000186,0.158135,-0.021701,feedback,2,3,0.36451617181623774,0.4033333333333334,-0.44366666666666676
55,25,67.56198310002219,68.76199690001086,0.191129,-0.009199,feedback,3,3,0.0,0.44366666666666676,-0.44366666666666676
